"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"8","mean_popden",-0.00299758150296854,-0.00391874396166967,-0.00207641904426742,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"9","residential_percent_change_from_baseline",-0.176024578092832,-0.219657580861715,-0.132391575323949,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"10","Specialised_services",-6.9291569388623e-07,-1.2207634020781e-06,-1.65067985694356e-07,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"11","unringfenced_percapita",0.154444424191505,0.105033975927416,0.203854872455594,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"12","ASC_rapid_testing",-51.8597247429502,-75.7509662065507,-27.9684832793498,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"13","DWP_winter_grant_percapita",-0.538418392750489,-0.714566522947075,-0.362270262553903,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"14","sales_compensation",-0.0349059544121882,-0.0552951935343076,-0.0145167152900687,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"15","fire_contingency",-9.02724932504737,-15.8215892924934,-2.23290935760135,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"16","Income_score",4.52238934573348,1.40685308000866,7.63792561145831,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"17","Education_Skills_and_Training_score",-0.0194656350771003,-0.030251956907467,-0.00867931324673351,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"18","Living_Environment_score",0.0122587817008062,0.00693007351335797,0.0175874898882545,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"19","prop_black_afr_car",2.23530373168223,0.741618928202292,3.72898853516217,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"20","prop_o65",1.57511797324002,-2.73227044442183,5.88250639090186,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"21","Core_services_funding_percapita",0.00783635590411727,-0.0870166284643271,0.102689340272562,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"22","Primary_care_funding_percapita",-0.0232670334432057,-0.970475386232322,0.923941319345911,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"23","contain_outbreak_management_percapita",0.0196675560837498,8.13807803099927e-05,0.0392537313871896,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"24","omicron_support_fund_percapita",0.273348113687057,-0.268388397781326,0.81508462515544,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"25","Health_Deprivation_and_Disability_score",0.0055349270079839,-0.139867903921586,0.150937757937554,224.595154551041,325.828765170564,"First vs Second","Stepwise","Random"
"26","(Intercept)",-6.40119726024581,-25.5781993829248,12.7758048624331,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"27","Pop_per_km2",0.0031610698084772,-0.00143493520402778,0.00775707482098217,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"28","Median_age",0.17710987409484,-0.0645150697672316,0.418734817956911,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"29","prop_travelling_to_work",9.72836826537491,-1.69615563714261,21.1528921678924,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"30","prop_all_other_white",10.0974237670769,4.10782626551383,16.0870212686401,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"31","prop_asian",20.8122048373766,17.7925195461213,23.8318901286319,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"32","prop_u25",31.8853635729879,9.95827770761338,53.8124494383625,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"33","mean_popden",-0.00335978841773656,-0.00801533995393144,0.00129576311845832,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"34","residential_percent_change_from_baseline",-0.467971605435328,-0.688510555955074,-0.247432654915582,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"35","Specialised_services",-2.57452268797203e-06,-5.24279868217237e-06,9.37533062283216e-08,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"36","unringfenced_percapita",0.13528249669417,-0.11449626660388,0.38506125999222,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"37","ASC_rapid_testing",-20.1047436798132,-140.878531755909,100.669044396282,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"38","DWP_winter_grant_percapita",-0.224329586919512,-1.11471882319123,0.666059649352203,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"39","sales_compensation",-0.0517443107974765,-0.154785391645261,0.0512967700503079,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"40","fire_contingency",-32.5990417015295,-66.9403232630997,1.74223986004072,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"41","Income_score",31.8013996236687,16.0530578182957,47.5497414290417,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"42","Education_Skills_and_Training_score",0.0691731151167001,0.0146418992724709,0.123704330960929,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"43","Living_Environment_score",0.0210136191609704,-0.00592137632799476,0.0479486146499356,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"44","prop_black_afr_car",25.3627893755799,17.8118164774617,32.9137622736981,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"45","prop_o65",-36.1663082141033,-57.9385851799325,-14.3940312482741,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"46","Core_services_funding_percapita",1.09120922430384,0.611828348307899,1.57059010029978,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"47","Primary_care_funding_percapita",-10.3483191391859,-15.1354430997533,-5.56119517861856,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"48","contain_outbreak_management_percapita",0.184429077249,0.0854120078600608,0.28344614663794,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"49","omicron_support_fund_percapita",-2.63747585386034,-5.37551132248949,0.100559614768808,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
"50","Health_Deprivation_and_Disability_score",-1.55227029068459,-2.28737094826496,-0.817169633104222,1161.0857091845,1262.31931980402,"Second vs Third","Stepwise","Random"
