"","...1","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"96","48","Living_Environment_score",0.0415423537251565,0.00474629066409857,0.0783384167862144,1178.90551105805,1276.38972869166,"Second vs Third","Simple","Random"
"97","(Intercept)","(Intercept)",6.55590270318605,5.82051691558648,7.29128849078562,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"98","Pop_per_km2","Pop_per_km2",0.00011420129138538,8.67848793017155e-05,0.00014161770346905,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"99","Median_age","Median_age",-0.148882441325524,-0.178305015909548,-0.1194598667415,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"100","prop_asian","prop_asian",3.57087360565698,2.90940682811458,4.23234038319939,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"101","Income_score","Income_score",-2.90570396342234,-7.36405416559414,1.55264623874945,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"102","unringfenced_percapita","unringfenced_percapita",0.0325117700753759,0.0236767950752101,0.0413467450755417,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"103","prop_black_afr_car","prop_black_afr_car",2.39366970799765,0.819757681063493,3.9675817349318,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"104","IMD_Average_score","IMD_Average_score",0.0657628669703721,0.0406618515576287,0.0908638823831156,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"105","prop_o65","prop_o65",7.99858406905341,4.49307680328444,11.5040913348224,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"106","Crime_score","Crime_score",-0.0885807057027904,-0.233738520423308,0.0565771090177275,265.416858369774,306.660181214764,"First vs Second","Stability Lasso","Fixed"
"107","(Intercept)1","(Intercept)",18.5200625210229,15.3619815068138,21.6781435352319,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"108","Pop_per_km21","Pop_per_km2",-0.00032548515060997,-0.00044322369266392,-0.00020774660855602,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"109","Median_age1","Median_age",0.043701270426551,-0.0826526457760716,0.170055186629174,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"110","prop_asian1","prop_asian",25.4170350745335,22.5763959067499,28.2576742423171,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"111","Income_score1","Income_score",8.69427750691448,-10.4519058509839,27.8404608648128,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"112","unringfenced_percapita1","unringfenced_percapita",0.0582556975966756,0.0203142969338874,0.0961970982594639,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"113","prop_black_afr_car1","prop_black_afr_car",26.1185190245076,19.3594249896327,32.8776130593826,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"114","IMD_Average_score1","IMD_Average_score",0.164684853779155,0.0568896780373057,0.272480029521005,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"115","prop_o651","prop_o65",-42.0537317936033,-57.1079742441319,-26.9994893430746,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"116","Crime_score1","Crime_score",0.669667459127506,0.0462937871541754,1.29304113110084,1180.61671064397,1221.86003348896,"Second vs Third","Stability Lasso","Fixed"
"117","1","(Intercept)",6.59521529869919,5.85281108639218,7.3376195110062,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"118","2","Pop_per_km2",0.00011285642607336,8.52037262145381e-05,0.00014050912593219,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"119","3","Median_age",-0.149670515216265,-0.179234895544519,-0.120106134888012,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"120","4","prop_asian",3.56016008603289,2.89888564111957,4.2214345309462,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"121","5","Income_score",-2.81785166567182,-7.30511925782984,1.66941592648621,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"122","6","unringfenced_percapita",0.0323854939932341,0.0235660837291704,0.0412049042572978,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"123","7","prop_black_afr_car",2.3771618716788,0.786413525405133,3.96791021795247,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"124","8","IMD_Average_score",0.0653311032225529,0.0400663262462469,0.0905958801988589,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"125","9","prop_o65",7.9969044819481,4.4720171727874,11.5217917911088,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"126","10","Crime_score",-0.0945593178321886,-0.241651534147261,0.0525328984828841,318.704857793726,363.697573624625,"First vs Second","Stability Lasso","Random"
"127","11","(Intercept)",18.7520579230779,15.5182669804945,21.9858488656614,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"128","12","Pop_per_km2",-0.00032109395152211,-0.00044298740686807,-0.00019920049617615,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"129","13","Median_age",0.0316469999055483,-0.0953813789525019,0.158675378763598,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"130","14","prop_asian",25.1055969676227,22.2934872116152,27.9177067236302,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"131","15","Income_score",13.2964201967126,-6.13465201602692,32.7274924094522,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"132","16","unringfenced_percapita",0.0558526314880949,0.0186607521946033,0.0930445107815864,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"133","17","prop_black_afr_car",25.6359559668036,18.5947734571534,32.6771384764538,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"134","18","IMD_Average_score",0.136234650960821,0.0268088896945932,0.24566041222705,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"135","19","prop_o65",-40.41457366091,-55.5407859006708,-25.2883614211493,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"136","20","Crime_score",0.713082077388696,0.0768976647345088,1.34926649004288,1198.90440475388,1243.89712058478,"Second vs Third","Stability Lasso","Random"
"137","(Intercept)","(Intercept)",5.1089664811835,1.36948514339144,8.84844781897556,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"138","Pop_per_km2","Pop_per_km2",4.20605522855269e-05,6.86622105344603e-06,7.72548835176077e-05,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"139","Median_age","Median_age",-0.0829167480244948,-0.131465428880584,-0.0343680671684053,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"140","prop_travelling_to_work","prop_travelling_to_work",-1.97536330067549,-4.28810697570414,0.337380374353159,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"141","prop_all_other_white","prop_all_other_white",2.33778190363297,1.13380345499505,3.54176035227088,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"142","prop_asian","prop_asian",2.0591460505212,1.42001684710187,2.69827525394053,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"143","prop_u25","prop_u25",6.75530064363529,2.42731599705031,11.0832852902203,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"144","no_jobs","no_jobs",-0.00454283703745028,-0.00890621431331023,-0.00017945976159032,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"145","residential_percent_change_from_baseline","residential_percent_change_from_baseline",-0.181315983691719,-0.228085514653788,-0.134546452729651,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"146","Specialised_services","Specialised_services",-5.2395375530698e-07,-8.86700031450352e-07,-1.61207479163609e-07,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"147","unringfenced_percapita","unringfenced_percapita",0.184620435256767,0.137505709028392,0.231735161485142,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"148","ASC_rapid_testing","ASC_rapid_testing",-61.1926339689778,-84.51152073412,-37.8737472038357,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"149","DWP_winter_grant_percapita","DWP_winter_grant_percapita",-0.58902397551513,-0.750137081923161,-0.4279108691071,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"150","sales_compensation","sales_compensation",-0.0448599385059932,-0.0708431130951291,-0.0188767639168572,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"151","fire_contingency","fire_contingency",-9.3001306533941,-16.6225173515626,-1.97774395522558,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"152","protect_and_vaccinate","protect_and_vaccinate",0.635548908477153,0.238537179378642,1.03256063757566,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"153","Income_score","Income_score",4.60278664535276,1.22556313253471,7.9800101581708,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"154","Education_Skills_and_Training_score","Education_Skills_and_Training_score",-0.0244169739143847,-0.0350062144184185,-0.0138277334103509,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"155","Living_Environment_score","Living_Environment_score",0.00946006457531919,0.00456336682807712,0.0143567623225613,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"156","Population","Population",6.86304238304484e-07,-1.5159273523838e-06,2.88853582899277e-06,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"157","prop_black_afr_car","prop_black_afr_car",0.155040766964846,-1.25216468581509,1.56224621974478,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"158","prop_o65","prop_o65",1.64899780883898,-2.60673850017802,5.90473411785598,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"159","contain_outbreak_management_percapita","contain_outbreak_management_percapita",0.010427718103736,-0.0086786103979334,0.0295340466054055,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"160","ASC_workforce_capacity","ASC_workforce_capacity",0.0604360189323321,-0.121807547812977,0.242679585677641,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"161","Health_Deprivation_and_Disability_score","Health_Deprivation_and_Disability_score",-0.00235885100239397,-0.152134831332266,0.147417129327478,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"162","Crime_score","Crime_score",0.0140373592827263,-0.112435978430139,0.140510696995591,123.3389431549,224.572553774423,"First vs Second","Stepwise","Fixed"
"163","(Intercept)1","(Intercept)",-6.06675423319596,-24.3567515468126,12.2232430804207,1120.23078624202,1221.46439686154,"Second vs Third","Stepwise","Fixed"
