"","Variable","Beta","CI_Lower","CI_Upper","AIC","BIC","dose","model","effects"
"50","Pop_per_km2",0.000169091955592975,-4.95173275565334e-05,0.000387701238742483,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"51","prop_travelling_to_work",-22.1846366742925,-58.7746712503679,14.405397901783,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"52","prop_not_in_work",-37.4336672499336,-76.0002684032376,1.13293390337041,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"53","prop_all_other_white",-50.7436363157421,-59.9070762437247,-41.5801963877595,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"54","prop_mixed_multiple",-17.5592637431627,-47.4521047337182,12.3335772473928,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"55","prop_asian",-20.5107151278344,-25.0531275112012,-15.9683027444676,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"56","prop_black_afr_car",-27.3708617705517,-39.8383869913152,-14.9033365497883,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"57","prop_other",-4.27499784460367,-28.0827019573132,19.5327062681058,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"58","IMD_Average_score",0.0421464192239656,-0.186891537132449,0.271184375580381,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"59","prop_o65",45.1734462710428,20.803865537249,69.5430270048365,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"60","prop_u25",-33.7278514369956,-57.2352195668002,-10.220483307191,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"61","Median_annual_income",-1.76184737698097e-06,-0.000111013779343782,0.00010749008458982,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"62","Other_proportion",-0.067382894475539,-0.276193221520226,0.141427432569148,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"63","unringfenced_percapita",-0.0783250722770177,-0.137072617630009,-0.0195775269240266,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"64","ASC_infection_control_fund_percapita",-0.0969320039151522,-0.18844601096209,-0.0054179968682147,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"65","contain_outbreak_management_percapita",-0.149969635095197,-0.26537918446501,-0.0345600857253836,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"66","Income_score",-40.7755049547529,-88.1484413644139,6.597431454908,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"67","Employment_score",17.0518288657855,-43.3326680697983,77.4363258013692,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"68","Education_Skills_and_Training_score",-0.141384625465489,-0.222491927049337,-0.060277323881641,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"69","Health_Deprivation_and_Disability_score",0.884143873584221,-0.359419219947448,2.12770696711589,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"70","Crime_score",-1.27941706496138,-2.20237642293948,-0.35645770698328,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"71","Barriers_to_Housing_and_Services_score",-0.0322327442154769,-0.108255573553769,0.043790085122815,1367.70486681911,1465.18908445272,"Third","Simple","Random"
"72","Living_Environment_score",-0.0773664506815188,-0.12796863254258,-0.0267642688204574,1367.70486681911,1465.18908445272,"Third","Simple","Random"
