"","Term","VIF","VIF_CI_low","VIF_CI_high","SE_factor","Tolerance","Tolerance_CI_low","Tolerance_CI_high","Dose"
"59","Population",24.4799564180662,19.9543604571255,30.086096291212,4.94772234650109,0.0408497459277338,0.033237944541582,0.0501143598236902,"Second vs Third"
"60","prop_all_other_white",3.00511361694935,2.54306932692884,3.60550873944054,1.73352635311649,0.332766120508666,0.27735337015302,0.393225614972778,"Second vs Third"
"61","prop_asian",2.02216732412506,1.74805813440632,2.39671770207832,1.42202929791375,0.494518919413691,0.417237290454711,0.572063354368717,"Second vs Third"
"62","prop_black_afr_car",3.01544017354552,2.55143181620028,3.61822598371725,1.73650228146856,0.331626542875235,0.276378535917934,0.391936791589144,"Second vs Third"
"63","prop_o65",4.67187344757492,3.89361149560151,5.65945571321523,2.16145169910755,0.214046893868472,0.176695436924249,0.25683096557776,"Second vs Third"
"64","mean_popden",5.08234233630681,4.22632820286893,6.16547539583343,2.25440509587492,0.196759669819226,0.16219349454801,0.236612007397148,"Second vs Third"
"65","no_jobs",22.6311539706201,18.4552399491215,27.8060951017878,4.75722124465745,0.0441868762546622,0.035963338122069,0.054185152984023,"Second vs Third"
"66","residential_percent_change_from_baseline",4.78937381063431,3.98885197936574,5.80430411939249,2.18846380153621,0.208795562747598,0.172285941506571,0.25069869856615,"Second vs Third"
"67","contain_outbreak_management_percapita",3.37910192331747,2.84598662115014,4.06617929766272,1.83823337020017,0.295936619460782,0.245931112918412,0.351371996118476,"Second vs Third"
"68","Income_score",12.9913835674637,10.6388133465124,15.9181517156432,3.60435619320062,0.0769740955462552,0.0628213638030143,0.0939954454909036,"Second vs Third"
"69","Health_Deprivation_and_Disability_score",8.26768006379206,6.8087480126422,10.0930392219949,2.87535738018634,0.120952914515821,0.0990781842817753,0.146869879476115,"Second vs Third"
"70","Crime_score",3.55045582997105,2.98480990662301,4.27730374527439,1.88426532897335,0.281653975683498,0.233792140926351,0.33502971086403,"Second vs Third"
"71","Living_Environment_score",1.58923340326774,1.39992383484234,1.86815531678265,1.26064800926656,0.629234194262358,0.535287398759868,0.714324576174262,"Second vs Third"
